číslo VTA;kraj;okres;obec;část obce;ulice;upřesnění umístění
494372228;Královéhradecký;Rychnov nad Kněžnou;Žďár nad Orlicí;Žďár nad Orlicí;;u obecního úřadu
499881052;Královéhradecký;Trutnov;Batňovice;Batňovice;;u školy
499879052;Královéhradecký;Trutnov;Bernartice;Bernartice;;křižovatka Lampertice - Královec- zast. BUS
499396051;Královéhradecký;Trutnov;Bílá Třemešná;Nové Lesy;;Budova místní knihovny
499694000;Královéhradecký;Trutnov;Bílé Poličany;Bílé Poličany;;Prodejna Jednoty smíšené zboží
499691001;Královéhradecký;Trutnov;Borovnice;Borovnice;;u potravin
499691002;Královéhradecký;Trutnov;Borovnička;Borovnička;;Požární zbrojnice
499441008;Královéhradecký;Trutnov;Čermná;Čermná;;na obecním úřadu
499435000;Královéhradecký;Trutnov;Černý Důl;Černý Důl;;hotel - Pošta
499426009;Královéhradecký;Trutnov;Dolní Branná;Dolní Branná;;hasičárna (pož.zbrojnice)
499391001;Královéhradecký;Trutnov;Dolní Brusnice;Dolní Brusnice;;Prodejna potravin
499432002;Královéhradecký;Trutnov;Dolní Dvůr;Dolní Dvůr;;
499448002;Královéhradecký;Trutnov;Dolní Kalná;Dolní Kalná;;PETRI-PARTS (Velveta)
499441012;Královéhradecký;Trutnov;Dolní Olešnice;Dolní Olešnice;;u obecního úřadu
499397000;Královéhradecký;Trutnov;Doubravice;Doubravice;;zastávka BUS
499394000;Královéhradecký;Trutnov;Dubenec;Dubenec;;Před prodejnou Jednoty
499393000;Královéhradecký;Trutnov;Hajnice;Horní Žďár;;motorest Výšinka
499881059;Královéhradecký;Trutnov;Havlovice;Havlovice;;u obecního úřadu
499391000;Královéhradecký;Trutnov;Horní Brusnice;Horní Brusnice;;pošta
499431000;Královéhradecký;Trutnov;Horní Kalná;Horní Kalná;;u obecního úřadu
499874003;Královéhradecký;Trutnov;Horní Maršov;Horní Maršov;;zast. ČSAD - u pily
499448003;Královéhradecký;Trutnov;Horní Olešnice;Horní Olešnice;;u obecního úřadu
499694003;Královéhradecký;Trutnov;Hřibojedy;Hřibojedy;;Prodejna Jednoty
499447000;Královéhradecký;Trutnov;Chotěvice;Chotěvice;;pošta
499392000;Královéhradecký;Trutnov;Choustníkovo Hradiště;Choustníkovo Hradiště;;Na zdi OÚ, vlevo od vchodu
499892001;Královéhradecký;Trutnov;Chvaleč;Petříkovice;;u prodejny
499875057;Královéhradecký;Trutnov;Janské Lázně;Janské Lázně;náměstí Svobody;u kina
499897001;Královéhradecký;Trutnov;Jívka;Jívka;;sídliště
499441009;Královéhradecký;Trutnov;Klášterská Lhota;Klášterská Lhota;;na prodejně
499320059;Královéhradecký;Trutnov;Kocbeře;Nové Kocbeře;;Vedle Pošty a OÚ
499392051;Královéhradecký;Trutnov;Kohoutov;Kohoutov;;u bytovek
499876051;Královéhradecký;Trutnov;Královec;Královec;;u pošty
499392001;Královéhradecký;Trutnov;Kuks;Kuks;;Čerpací stanice Papoil
499431001;Královéhradecký;Trutnov;Kunčice nad Labem;Kunčice nad Labem;;na obecním úřadu
499879001;Královéhradecký;Trutnov;Lampertice;Lampertice;;u prodejny
499432000;Královéhradecký;Trutnov;Lánov;Prostřední Lánov;;u obecního úřadu
499694001;Královéhradecký;Trutnov;Lanžov;Lanžov;;Na návsi u kostela
499881050;Královéhradecký;Trutnov;Libňatov;Libňatov;;zastávka pod prodejnou-u čp.113
499694004;Královéhradecký;Trutnov;Libotov;Libotov;;Vedle MŠ
499694002;Královéhradecký;Trutnov;Litíč;Litíč;;U OÚ a rybníku
499891003;Královéhradecký;Trutnov;Malá Úpa;Dolní Malá Úpa;;Spálený Mlýn
499886000;Královéhradecký;Trutnov;Malé Svatoňovice;Malé Svatoňovice;Nádražní;pošta
499881006;Královéhradecký;Trutnov;Maršov u Úpice;Maršov u Úpice;;u obecního úřadu
499691000;Královéhradecký;Trutnov;Mostek;Mostek;;Zastávka Bus Pekařství Klouček
499397002;Královéhradecký;Trutnov;Nemojov;Dolní Nemojov;;naproti OÚ - zastávka BUS
499896006;Královéhradecký;Trutnov;Pec pod Sněžkou;Pec pod Sněžkou;;u infocentra
499898001;Královéhradecký;Trutnov;Pilníkov;Pilníkov;Náměstí;náměstí
499441004;Královéhradecký;Trutnov;Prosečné;Prosečné;;hasická zbrojnice
499897000;Královéhradecký;Trutnov;Radvanice;Radvanice;;na prodejně
499692001;Královéhradecký;Trutnov;Stanovice;Stanovice;;naproti čp 17 - U mostu přes Labe
499898002;Královéhradecký;Trutnov;Staré Buky;Prostřední Staré Buky;;
499434000;Královéhradecký;Trutnov;Strážné;Strážné;;u Obecního úřadu
499881054;Královéhradecký;Trutnov;Suchovršice;Suchovršice;;u mostu přes řeku
499523006;Královéhradecký;Trutnov;Špindlerův Mlýn;Špindlerův Mlýn;;ubytovna PAVLA
499329441;Královéhradecký;Trutnov;Trotina;Trotina;;
499396000;Královéhradecký;Trutnov;Třebihošť;Třebihošť;;Na prodejně 
499881060;Královéhradecký;Trutnov;Velké Svatoňovice;Velké Svatoňovice;;sídliště Smíchov
499394002;Královéhradecký;Trutnov;Velký Vřešťov;Velký Vřešťov;;v zastávce Bus u OÚ
499394001;Královéhradecký;Trutnov;Vilantice;Vilantice;;Vedle OÚ
499395000;Královéhradecký;Trutnov;Vítězná;Kocléřov;;pošta
499899000;Královéhradecký;Trutnov;Vlčice;Vlčice;;prodejna
499392052;Královéhradecký;Trutnov;Vlčkovice v Podkrkonoší;Horní Vlčkovice;;zast. ČSAD BUS
499397005;Královéhradecký;Trutnov;Zábřezí-Řečice;Zábřezí;;náves
499397001;Královéhradecký;Trutnov;Zdobín;Zdobín;;zast. Bus
499841054;Královéhradecký;Trutnov;Zlatá Olešnice;Zlatá Olešnice;;zastávka ČSAD
487873366;Liberecký;Česká Lípa;Bezděz;Bezděz;;u zast.ČSAD
487874370;Liberecký;Česká Lípa;Blatce;Blatce;;Houska, Obecní úřad - v boxu na zídce
487867039;Liberecký;Česká Lípa;Blíževedly;Blíževedly;;u prodejny
487857293;Liberecký;Česká Lípa;Bohatice;Bohatice;;(u prod.potravin) Obecní úřad
487850280;Liberecký;Česká Lípa;Brniště;Brniště;;u obecního úřadu s poštou
487870432;Liberecký;Česká Lípa;Dubá;Dubá;Českolipská;u hlavní silnice
487851190;Liberecký;Česká Lípa;Dubnice;Dubnice;;u zastávky ČSAD
487851140;Liberecký;Česká Lípa;Hamr na Jezeře;Hamr na Jezeře;Liberecká;u obecního úřadu
487877502;Liberecký;Česká Lípa;Holany;Holany;;u OÚ
487837088;Liberecký;Česká Lípa;Horní Libchava;Horní Libchava;;u obchodu Jednoty
487856110;Liberecký;Česká Lípa;Horní Police;Horní Police;9. května;vlevo
487870433;Liberecký;Česká Lípa;Chlum;Chlum;;u OÚ
487722463;Liberecký;Česká Lípa;Chotovice;Chotovice;;u zastávky ČAD
487877505;Liberecký;Česká Lípa;Jestřebí;Jestřebí;;u pošty
487825253;Liberecký;Česká Lípa;Kozly;Kozly;;u restaurace
487867113;Liberecký;Česká Lípa;Kravaře;Kravaře;náměstí;u MěÚ
487754012;Liberecký;Česká Lípa;Krompach;Krompach;;u zámku
487751760;Liberecký;Česká Lípa;Kunratice u Cvikova;Kunratice u Cvikova;;náves - u restaurace
487825363;Liberecký;Česká Lípa;Kvítkov;Kvítkov;;před kostelem
487876212;Liberecký;Česká Lípa;Luka;Luka;;u zast.ČSAD
487754193;Liberecký;Česká Lípa;Mařenice;Mařenice;;u pošty
487863152;Liberecký;Česká Lípa;Noviny pod Ralskem;Noviny pod Ralskem;;u bytovek
487764011;Liberecký;Česká Lípa;Nový Oldřichov;Nový Oldřichov;;u prodejny
487876219;Liberecký;Česká Lípa;Okna;Okna;;naproti poště
487722460;Liberecký;Česká Lípa;Okrouhlá;Okrouhlá;;konečná - u ČAD
487863154;Liberecký;Česká Lípa;Pertoltice pod Ralskem;Pertoltice pod Ralskem;;u obecního úřadu
487722299;Liberecký;Česká Lípa;Polevsko;Polevsko;;u obecního úřadu
487877500;Liberecký;Česká Lípa;Provodín;Provodín;;vně na budově
487764012;Liberecký;Česká Lípa;Prysk;Dolní Prysk;;u pošty
487754746;Liberecký;Česká Lípa;Radvanec;Radvanec;;u prodejny automobilů
487863496;Liberecký;Česká Lípa;Ralsko;Kuřívody;;u bytovek
487722458;Liberecký;Česká Lípa;Skalice u České Lípy;Skalice u České Lípy;;u horní prodejny - u ČAD
487872384;Liberecký;Česká Lípa;Skalka u Doks;Skalka u Doks;;u zastávky ČSAD
487753577;Liberecký;Česká Lípa;Sloup v Čechách;Sloup v Čechách;Cvikovská;u koupaliště
487754473;Liberecký;Česká Lípa;Slunečná;Slunečná;;na budově Obecního úřadu
487825376;Liberecký;Česká Lípa;Sosnová;Sosnová;;u parkoviště
487856130;Liberecký;Česká Lípa;Stružnice;Stružnice;;u křižovatky - u obchodu
487867114;Liberecký;Česká Lípa;Stvolínky;Stvolínky;;u motorestu
487753572;Liberecký;Česká Lípa;Svojkov;Svojkov;;náves - u prodejny
487751512;Liberecký;Česká Lípa;Svor;Svor;;u pošty
487872416;Liberecký;Česká Lípa;Tachov;Tachov;;u zast. ČSAD
487870404;Liberecký;Česká Lípa;Tuhaň;Tuhaň;;u zastávky ČSAD
487857555;Liberecký;Česká Lípa;Velenice;Velenice;;na návsi - u sloup.UR
487762003;Liberecký;Česká Lípa;Velký Valtinov;Velký Valtinov;;u OÚ
487837206;Liberecký;Česká Lípa;Volfartice;Volfartice;;zastávka ČSAD
487870120;Liberecký;Česká Lípa;Vrchovany;Vrchovany;;u zastávky ČSAD
487877504;Liberecký;Česká Lípa;Zahrádky;Zahrádky;;u bytovek
487856000;Liberecký;Česká Lípa;Žandov;Žandov;Děčínská;mezi domy
487876260;Liberecký;Česká Lípa;Ždírec;Ždírec;;na návsi
483381752;Liberecký;Jablonec nad Nisou;Albrechtice v Jizerských horách;Albrechtice v Jizerských horách;;před poštou
483380365;Liberecký;Jablonec nad Nisou;Bedřichov;Bedřichov;;HS
483388661;Liberecký;Jablonec nad Nisou;Dalešice;Dalešice;;u potravin
483385034;Liberecký;Jablonec nad Nisou;Držkov;Držkov;;u pošty
483393245;Liberecký;Jablonec nad Nisou;Frýdštejn;Frýdštejn;;u OÚ
483380366;Liberecký;Jablonec nad Nisou;Janov nad Nisou;Janov nad Nisou;;u pošty
483393243;Liberecký;Jablonec nad Nisou;Jenišovice;Jenišovice;;křižovatka
483385553;Liberecký;Jablonec nad Nisou;Jílové u Držkova;Jílové u Držkova;;u rest.
483381811;Liberecký;Jablonec nad Nisou;Jiřetín pod Bukovou;Jiřetín pod Bukovou;;sídliště
483381090;Liberecký;Jablonec nad Nisou;Josefův Důl;Josefův Důl;;u polikliniky a pošty
483390520;Liberecký;Jablonec nad Nisou;Koberovy;Koberovy;;u potravin
483399356;Liberecký;Jablonec nad Nisou;Kořenov;Kořenov;;Martinské údolí,u potravin
483392379;Liberecký;Jablonec nad Nisou;Líšný;Líšný 2.díl;;ŽBS
483385144;Liberecký;Jablonec nad Nisou;Loužnice;Loužnice;;naproti poště
483300238;Liberecký;Jablonec nad Nisou;Lučany nad Nisou;Lučany nad Nisou;;Hlavni ul., u ATÚ
483392294;Liberecký;Jablonec nad Nisou;Malá Skála;Labe;;u parkoviště, u čp.687
483302215;Liberecký;Jablonec nad Nisou;Maršovice;Maršovice;;OÚ
483721186;Liberecký;Jablonec nad Nisou;Nová Ves nad Nisou;Nová Ves nad Nisou;;u zastávky MHD
483397288;Liberecký;Jablonec nad Nisou;Pěnčín;Krásná;;u zastávky a u restaurace
483398375;Liberecký;Jablonec nad Nisou;Plavy;Plavy;;u potravin a OÚ
483305920;Liberecký;Jablonec nad Nisou;Pulečný;Pulečný;;na budově obecního úřadu
483385552;Liberecký;Jablonec nad Nisou;Radčice;Radčice;;u potravin
483388659;Liberecký;Jablonec nad Nisou;Rádlo;Rádlo;;u OÚ
483385551;Liberecký;Jablonec nad Nisou;Vlastiboř;Vlastiboř;;knihovna
483385003;Liberecký;Jablonec nad Nisou;Zásada;Zásada;;u restaurace
483769002;Liberecký;Jablonec nad Nisou;Zlatá Olešnice;Zlatá Olešnice;;u pošty
485147365;Liberecký;Liberec;Bílá;Vlčetín;;u restaurace
485143497;Liberecký;Liberec;Bílý Kostel nad Nisou;Bílý Kostel nad Nisou;;u pošty
482322915;Liberecký;Liberec;Bílý Potok;Bílý Potok;;
482343317;Liberecký;Liberec;Bulovka;Bulovka;;u české pošty
485148980;Liberecký;Liberec;Cetenov;Hrubý Lesnov;; 
482345173;Liberecký;Liberec;Černousy;Černousy;;
485146148;Liberecký;Liberec;Čtveřín;Doubí;;
482317188;Liberecký;Liberec;Dětřichov;Dětřichov;;
485149245;Liberecký;Liberec;Dlouhý Most;Dlouhý Most;;
482341233;Liberecký;Liberec;Dolní Řasnice;Dolní Řasnice;;u obchodu
482345172;Liberecký;Liberec;Habartice;Habartice;;u hraničního přechodu
482317189;Liberecký;Liberec;Heřmanice;Heřmanice;;
485148951;Liberecký;Liberec;Hlavice;Vápno;; 
482341234;Liberecký;Liberec;Horní Řasnice;Horní Řasnice;;obchod - pod přístřeškem
485140693;Liberecký;Liberec;Chotyně;Chotyně;;u pošty
485172240;Liberecký;Liberec;Janovice v Podještědí;Janovice v Podještědí;;
485179452;Liberecký;Liberec;Janův Důl;Janův Důl;;
485145645;Liberecký;Liberec;Jeřmanice;Jeřmanice;Střední;
482328139;Liberecký;Liberec;Jindřichovice pod Smrkem;Jindřichovice pod Smrkem;;
485177337;Liberecký;Liberec;Kobyly;Kobyly;;na OÚ
482341236;Liberecký;Liberec;Krásný Les;Krásný Les;;u obchodu
482720998;Liberecký;Liberec;Kryštofovo Údolí;Kryštofovo Údolí;;u OÚ
485178262;Liberecký;Liberec;Křižany;Křižany;;u pošty
482312003;Liberecký;Liberec;Kunratice;Kunratice;;u kulturního domu
482322912;Liberecký;Liberec;Lázně Libverda;Lázně Libverda;;u restaurace Pošta
485146149;Liberecký;Liberec;Lažany;Lažany;; 
485146855;Liberecký;Liberec;Mníšek;Mníšek;;u české pošty
485143498;Liberecký;Liberec;Nová Ves;Nová Ves;;u pošty
485146856;Liberecký;Liberec;Oldřichov v Hájích;Oldřichov v Hájích;;u České pošty
485179455;Liberecký;Liberec;Osečná;Osečná;;restaurace Dřevěnka
485146155;Liberecký;Liberec;Paceřice;Husa;;křižovatka u zastávky
485177361;Liberecký;Liberec;Pěnčín;Pěnčín;; 
482343315;Liberecký;Liberec;Pertoltice;Dolní Pertoltice;;
485147362;Liberecký;Liberec;Proseč pod Ještědem;Proseč pod Ještědem;;u obecního úřadu
485177200;Liberecký;Liberec;Příšovice;Příšovice;;Česká Pošta
485146156;Liberecký;Liberec;Radimovice;Radimovice;;u obecního úřadu
485172058;Liberecký;Liberec;Rynoltice;Rynoltice;;
485177363;Liberecký;Liberec;Soběslavice;Soběslavice;;u obecního úřadu
485179450;Liberecký;Liberec;Světlá pod Ještědem;Rozstání;; 
485177362;Liberecký;Liberec;Svijanský Újezd;Svijanský Újezd;;na obecním úřadě
485177128;Liberecký;Liberec;Svijany;Svijany;;u obecního úřadu
485146151;Liberecký;Liberec;Sychrov;Radostín;; 
482348312;Liberecký;Liberec;Višňová;Višňová;;u obchodu
485148807;Liberecký;Liberec;Všelibice;Všelibice;;u pošty
485178260;Liberecký;Liberec;Zdislava;Zdislava;;
485146157;Liberecký;Liberec;Žďárek;Žďárek;;u obecního úřadu
481675001;Liberecký;Semily;Bělá;Bělá;;na vážnici ZD
481582050;Liberecký;Semily;Benecko;Benecko;;na nákupním středisku
481621016;Liberecký;Semily;Benešov u Semil;Benešov u Semil;;Hradišťata - u atobusové zastávky
481682000;Liberecký;Semily;Bozkov;Bozkov;;před poštou
481671005;Liberecký;Semily;Bradlecká Lhota;Bradlecká Lhota;;před hasičskou zbrojnici
481595008;Liberecký;Semily;Bukovina u Čisté;Bukovina u Čisté;;na prodejně
481685004;Liberecký;Semily;Bystrá nad Jizerou;Bystrá nad Jizerou;;u OÚ
481595005;Liberecký;Semily;Čistá u Horek;Čistá u Horek;;u obecního úřadu
481685003;Liberecký;Semily;Háje nad Jizerou;Háje nad Jizerou;;továrna za mostem
481528000;Liberecký;Semily;Harrachov;Harrachov;;u MěÚ a infocentra
481381008;Liberecký;Semily;Holenice;Holenice;;u Obecního úřadu
481595003;Liberecký;Semily;Horka u Staré Paky;Horka u Staré Paky;;u pošty
481584050;Liberecký;Semily;Horní Branná;Horní Branná;;u zastávky ČSAD
481389099;Liberecký;Semily;Hrubá Skála;Hrubá Skála;;na parkovišti u zámku
481621078;Liberecký;Semily;Chuchelna;Chuchelna;;TO Semily - VTAJ - 1.patro
481591004;Liberecký;Semily;Jablonec nad Jizerou;Jablonec nad Jizerou;;budova OÚ
481683000;Liberecký;Semily;Jesenný;Jesenný;;proti poště
481582052;Liberecký;Semily;Jestřabí v Krkonoších;Křížlice;;u penzionu U lišáka
481329099;Liberecký;Semily;Kacanovy;Kacanovy;;náves u RSU
481389000;Liberecký;Semily;Karlovice;Radvánovice;;u motorestu
481320003;Liberecký;Semily;Klokočí;Klokočí;;u zastávky ČSAD
481689099;Liberecký;Semily;Košťálov;Košťálov;;na návsi
481587002;Liberecký;Semily;Kruh;Kruh;;na návsi
481381005;Liberecký;Semily;Ktová;Ktová;;u prodejny
481595004;Liberecký;Semily;Levínská Olešnice;Levínská Olešnice;;obec Levínská Olešni-u OU-hasičárna
481689098;Liberecký;Semily;Libštát;Libštát;;před poštou
481311019;Liberecký;Semily;Loučky;Loučky;;před obecním úřadem
481540009;Liberecký;Semily;Martinice v Krkonoších;Martinice v Krkonoších;;u prodejny Jednota
481311018;Liberecký;Semily;Mírová pod Kozákovem;Chutnovka;;u zastávky ČSAD
481311188;Liberecký;Semily;Modřišice;Modřišice;;v zastávce ČSAD Podháj
481540203;Liberecký;Semily;Mříčná;Mříčná;;na zdi pošty
481675000;Liberecký;Semily;Nová Ves nad Popelkou;Nová Ves nad Popelkou;;u pošty
481311013;Liberecký;Semily;Ohrazenice;Ohrazenice;;Na pirámu - autoopravna Car-tech
481329098;Liberecký;Semily;Olešnice;Olešnice;; náves
481522055;Liberecký;Semily;Paseky nad Jizerou;Paseky nad Jizerou;;u obecního úřadu
481540204;Liberecký;Semily;Peřimov;Peřimov;;u obecního úřadu-Peřimov
481585000;Liberecký;Semily;Poniklá;Poniklá;;bytovky SEBA-Poniklá
481311006;Liberecký;Semily;Přepeře;Přepeře;;náves křižovatka - pohostinství
481621013;Liberecký;Semily;Příkrý;Příkrý;;u obecního úřadu
481320001;Liberecký;Semily;Radostná pod Kozákovem;Lestkov;;u zastávky ČSAD
481311020;Liberecký;Semily;Rakousy;Rakousy;;na rozcestí
481593034;Liberecký;Semily;Roprachtice;Roprachtice;;u OÚ a školy
481381000;Liberecký;Semily;Rovensko pod Troskami;Rovensko pod Troskami;náměstí prof. Drahoňovského;na náměstí
481587021;Liberecký;Semily;Roztoky u Jilemnice;Roztoky u Jilemnice;;u obecních garaží
481683001;Liberecký;Semily;Roztoky u Semil;Roztoky u Semil;;před kampeličkou
481621011;Liberecký;Semily;Slaná;Slaná;;u OÚ
481671095;Liberecký;Semily;Stružinec;Stružinec;;před kampeličkou
481595002;Liberecký;Semily;Studenec;Studenec;;rodinné domky
481671004;Liberecký;Semily;Syřenov;Syřenov;;obec Syřenov u prodejny
481381099;Liberecký;Semily;Tatobity;Tatobity;;u vchodu do obecního úřadu
481381007;Liberecký;Semily;Troskovice;Troskovice;;u prodejny
481381004;Liberecký;Semily;Veselá;Veselá;;u obchodu potravin
481540017;Liberecký;Semily;Víchová nad Jizerou;Víchová nad Jizerou;;pošta-Víchová n.Jiz.
499433077;Liberecký;Semily;Vítkovice;Vítkovice;;Horní Mísečky - obslužný objekt běžeckých tratí
481329097;Liberecký;Semily;Všeň;Všeň;;před poštou
481329000;Liberecký;Semily;Vyskeř;Vyskeř;;u penzionu
481593005;Liberecký;Semily;Vysoké nad Jizerou;Vysoké nad Jizerou;Náměstí Dr. Karla Kramáře;nákupní středisko-Vysoké n.Jizer.
481688002;Liberecký;Semily;Záhoří;Smrčí;;u školy
481381006;Liberecký;Semily;Žernov;Žernov;;u obecního úřadu
554737202;Moravskoslezský;Bruntál;Andělská Hora;Andělská Hora;;naproti pohostinství
554745284;Moravskoslezský;Bruntál;Bílčice;Májůvka;;
554642019;Moravskoslezský;Bruntál;Bohušov;Bohušov;;u obec. úřadu
554645103;Moravskoslezský;Bruntál;Brantice;Radim;;u obchodu
554617950;Moravskoslezský;Bruntál;Býkov-Láryšov;Býkov;;u Obecního úřadu
554645042;Moravskoslezský;Bruntál;Čaková;Čaková;;u autobus. zast.
554733071;Moravskoslezský;Bruntál;Dětřichov nad Bystřicí;Dětřichov nad Bystřicí;;
554650141;Moravskoslezský;Bruntál;Dívčí Hrad;Dívčí Hrad;;bytovky
554273290;Moravskoslezský;Bruntál;Dolní Moravice;Dolní Moravice;;u prodejny potravin
554745285;Moravskoslezský;Bruntál;Dvorce;Dvorce;Náměstí;náměstí u OÚ
554612613;Moravskoslezský;Bruntál;Heřmanovice;Heřmanovice;;u obec. úřadu
554642415;Moravskoslezský;Bruntál;Hlinka;Hlinka;;u Obecního úřadu
554644095;Moravskoslezský;Bruntál;Holčovice;Hejnov;;u obchodu
554212000;Moravskoslezský;Bruntál;Horní Město;Horní Město;;autobusová zastávka
554748308;Moravskoslezský;Bruntál;Horní Životice;Horní Životice;;u Obecního úřadu
554649135;Moravskoslezský;Bruntál;Hošťálkovy;Hošťálkovy;;u obec. úřadu
554641151;Moravskoslezský;Bruntál;Janov;Janov;;nám.u pošty
554641021;Moravskoslezský;Bruntál;Jindřichov;Jindřichov;;u lékárny
554295163;Moravskoslezský;Bruntál;Jiříkov;Jiříkov;;u zdravotního střediska
554772009;Moravskoslezský;Bruntál;Karlova Studánka;Karlova Studánka;;pod Libuší
554744084;Moravskoslezský;Bruntál;Karlovice;Karlovice;;potraviny
554645913;Moravskoslezský;Bruntál;Krasov;Krasov;;u obchodu
554745282;Moravskoslezský;Bruntál;Křišťanovice;Křišťanovice;;u mateřské školy
554731283;Moravskoslezský;Bruntál;Leskovec nad Moravicí;Leskovec nad Moravicí;;zastávka ČSAD
554617920;Moravskoslezský;Bruntál;Lichnov;Dubnice;;točna ČSAD
554650127;Moravskoslezský;Bruntál;Liptaň;Bučávka;;u kapličky
554271100;Moravskoslezský;Bruntál;Lomnice;Lomnice;;u obchodu
554751449;Moravskoslezský;Bruntál;Ludvíkov;Ludvíkov;;u pošty
554273010;Moravskoslezský;Bruntál;Malá Morávka;Malá Morávka;;u obchodu
554286052;Moravskoslezský;Bruntál;Malá Štáhle;Malá Štáhle;;autobusová zastávka
554711124;Moravskoslezský;Bruntál;Mezina;Mezina;;u obecního úřadu
554711125;Moravskoslezský;Bruntál;Milotice nad Opavou;Milotice nad Opavou;;u obchodu
554711651;Moravskoslezský;Bruntál;Moravskoslezský Kočov;Slezský Kočov;;bytovky
554712770;Moravskoslezský;Bruntál;Nová Pláň;Nová Pláň;;Bývalá požární zbrojnice
554743150;Moravskoslezský;Bruntál;Nové Heřminovy;Nové Heřminovy;;u Obecního úřadu
554711243;Moravskoslezský;Bruntál;Oborná;Oborná;;nahoře u cesty
554642099;Moravskoslezský;Bruntál;Osoblaha;Osoblaha;Na Náměstí;náměstí
554658134;Moravskoslezský;Bruntál;Petrovice;Petrovice;;u Obecního úřadu
554765286;Moravskoslezský;Bruntál;Razová;Razová;;bytovky
554776020;Moravskoslezský;Bruntál;Roudno;Roudno;;u rybářského svazu
554737297;Moravskoslezský;Bruntál;Rudná pod Pradědem;Stará Rudná;;u obchodu
554656144;Moravskoslezský;Bruntál;Rusín;Rusín;;u obec. úřadu
554286002;Moravskoslezský;Bruntál;Ryžoviště;Ryžoviště;Dětřichovská;pošta
554642092;Moravskoslezský;Bruntál;Slezské Pavlovice;Slezské Pavlovice;;u obchodu
554656083;Moravskoslezský;Bruntál;Slezské Rudoltice;Slezské Rudoltice;;náměstí
554283100;Moravskoslezský;Bruntál;Stará Ves;Stará Ves;Dlouhá;zastávka ČSAD
554748302;Moravskoslezský;Bruntál;Staré Heřminovy;Staré Heřminovy;;křižovatka - bytovky
554711126;Moravskoslezský;Bruntál;Staré Město;Staré Město;;u obecního úřadu
554737002;Moravskoslezský;Bruntál;Světlá Hora;Světlá;;u obchodu
554761009;Moravskoslezský;Bruntál;Svobodné Heřmanice;Svobodné Heřmanice;Sokolovská;u pošty
554741003;Moravskoslezský;Bruntál;Široká Niva;Široká Niva;;u obchodu
554652495;Moravskoslezský;Bruntál;Třemešná;Třemešná;;u Obecního úřadu
554291104;Moravskoslezský;Bruntál;Tvrdkov;Tvrdkov;;autobusová zastávka
554648162;Moravskoslezský;Bruntál;Úvalno;Úvalno;;u hospody
554742001;Moravskoslezský;Bruntál;Václavov u Bruntálu;Horní Václavov;;u Obecního úřadu
554713753;Moravskoslezský;Bruntál;Valšov;Valšov;;u pošty
554286321;Moravskoslezský;Bruntál;Velká Štáhle;Velká Štáhle;;autobusová zastávka
554641104;Moravskoslezský;Bruntál;Vysoká;Vysoká;;u obec. úřadu
554645348;Moravskoslezský;Bruntál;Zátor;Loučky;;
558690074;Moravskoslezský;Frýdek-Místek;Bílá;Bílá;;U parkoviště - lyžařské vleky
558362169;Moravskoslezský;Frýdek-Místek;Bocanovice;Bocanovice;;Bocanovice obecní úřad
558653011;Moravskoslezský;Frýdek-Místek;Bruzovice;Bruzovice;;Bruzovice u obecního úřadu
558357750;Moravskoslezský;Frýdek-Místek;Bukovec;Bukovec;;Bukovec Stará cesta
558640233;Moravskoslezský;Frýdek-Místek;Čeladná;Čeladná;;Podolánky - hotel Srdce Beskyd
558684016;Moravskoslezský;Frýdek-Místek;Čeladná;Čeladná;;U nádraží ČD
558651139;Moravskoslezský;Frýdek-Místek;Dobratice;Dobratice;;Dobratice u obchodu
558688214;Moravskoslezský;Frýdek-Místek;Dolní Domaslavice;Dolní Domaslavice;;Dolní Domaslavice Hlavní u obchodu Jednota
558358716;Moravskoslezský;Frýdek-Místek;Dolní Lomná;Dolní Lomná;;Dolní Lomná jednota
558694067;Moravskoslezský;Frýdek-Místek;Dolní Tošanovice;Dolní Tošanovice;;Dolní Tošanovice  benzinová stanice
558694206;Moravskoslezský;Frýdek-Místek;Hnojník;Hnojník;;Hnojník u pošty
558688216;Moravskoslezský;Frýdek-Místek;Horní Domaslavice;Horní Domaslavice;;Horní Domaslavice u hasičské zbrojnice
558366077;Moravskoslezský;Frýdek-Místek;Horní Lomná;Horní Lomná;;Horní Lomná Salajka - Hotel
558694208;Moravskoslezský;Frýdek-Místek;Horní Tošanovice;Horní Tošanovice;;Horní Tošanovice zámek- zemědělské družstvo
558369073;Moravskoslezský;Frýdek-Místek;Hrádek;Hrádek;;Hrádek jednota
558320005;Moravskoslezský;Frýdek-Místek;Hrčava;Hrčava;;Hrčava - u pohostinství
558699239;Moravskoslezský;Frýdek-Místek;Hukvaldy;Dolní Sklenov;;Hukvaldy U pošty
558681173;Moravskoslezský;Frýdek-Místek;Janovice;Janovice;;Janovice zemědělské družstvo
558658188;Moravskoslezský;Frýdek-Místek;Kaňovice;Kaňovice;;Kaňovice Magera hostinec
558694210;Moravskoslezský;Frýdek-Místek;Komorní Lhotka;Komorní Lhotka;;Komorní Lhotka penzion U čápa
558362820;Moravskoslezský;Frýdek-Místek;Košařiska;Košařiska;;Košařiska centrum - u Potravin
558644733;Moravskoslezský;Frýdek-Místek;Krásná;Krásná;;Krásná u hotelu Visalaje
558686477;Moravskoslezský;Frýdek-Místek;Lhotka;Lhotka;;Lhotka Obecní úřad
